Review Text,Sentiment
The product is amazing! I loved it and will buy again.,positive
Terrible experience. The item broke after two days.,negative
Very satisfied with the quality and delivery time.,positive
Not worth the money. Very disappointed.,negative
Excellent service and fast shipping!,positive
Bad quality and poor customer support.,negative
I'm happy with my purchase. Great value.,positive
The product did not meet my expectations.,negative
"Fantastic product, highly recommend!",positive
Worst purchase ever. Completely useless.,negative
